ssid,distid,schlid,disability_code,gndr,ethnic_cd,rit,lat,lon
65,1991,1991,82,M,H,225.337,NA,NA
66,2083,1352,82,M,W,230.528,44.048485,-122.944118
67,2207,1048,10,M,W,213.177,45.65364,-118.81577200000001
68,2142,755,70,M,W,149.647,44.983297,-122.971935
69,2142,755,70,M,W,201.704,44.983297,-122.971935
70,2083,548,82,M,M,217.805,44.069879,-123.03873100000001
71,1965,196,10,M,W,191.689,43.387768,-124.272878
72,1994,290,82,M,W,149.647,43.028147000000004,-123.279762
73,2187,978,50,F,H,213.177,45.521381000000005,-122.543896
74,2048,416,80,M,I,198.642,42.358679,-122.851555
75,2243,1161,82,M,H,211.721,45.466279,-122.863217
76,2082,1774,82,M,W,216.205,44.005402000000004,-123.084646
77,2082,513,60,M,W,221.278,44.099622000000004,-123.076676
78,2043,2043,10,M,W,207.459,NA,NA
79,2048,412,80,F,H,182.34,42.317381000000005,-122.95853000000001
80,2053,432,10,M,W,210.289,44.757672,-121.256951
81,2048,409,82,M,W,149.647,42.320475,-122.839121
82,2093,600,82,M,M,221.278,43.748439000000005,-122.46518900000001
83,2082,529,0,M,H,149.647,44.114631,-123.144181
84,2142,746,82,F,W,214.667,44.995971000000004,-123.007664
85,2180,855,82,F,W,258.45,45.480379,-122.729014
86,2142,746,82,M,B,191.689,44.995971000000004,-123.007664
87,2241,1133,82,M,W,219.488,45.51605,-123.092421
88,4131,1093,10,M,H,217.805,45.625318,-121.22189200000001
89,2182,1365,70,M,H,162.398,45.529089,-122.44072600000001
90,2082,534,50,M,M,230.528,44.071188,-123.09996100000001
91,2243,1174,10,M,H,211.721,45.502529,-122.780443
92,2212,1066,10,M,W,195.345,45.320773,-118.10392900000001
93,2142,3375,80,F,W,149.647,44.976276,-122.96009300000001
94,2146,1267,82,M,W,211.721,45.151540000000004,-122.86002
95,1976,250,50,M,H,210.289,44.072265,-121.242085
96,2242,1369,82,M,H,211.721,45.402457,-122.813214
97,2197,1014,80,M,A,207.459,45.407506000000005,-123.816507
98,2182,949,10,F,W,210.289,45.523472,-122.462164
99,2057,474,90,F,A,211.721,42.124033000000004,-121.93146100000001
100,2241,1130,82,M,W,219.488,45.512023,-123.061992
101,2185,964,82,M,W,207.459,45.511453,-122.48824
102,2185,964,82,M,W,219.488,45.511453,-122.48824
103,2142,746,10,F,H,216.205,44.995971000000004,-123.007664
104,1902,1902,82,M,W,175.365,NA,NA
105,2243,1179,70,M,W,227.733,45.50157,-122.80010000000001
106,2142,4858,80,F,W,211.721,44.964629,-123.075192
107,2056,459,82,M,W,203.175,42.234948,-121.796002
108,2182,1365,10,M,W,211.721,45.529089,-122.44072600000001
109,2142,749,80,F,W,238.564,44.887069000000004,-123.06171400000001
110,2143,788,10,F,B,149.647,44.801651,-122.793412
111,2147,813,10,F,H,213.177,45.898113,-119.48781500000001
112,2025,2025,82,M,W,175.365,NA,NA
113,1964,4025,10,M,A,179.188,43.184685,-124.18757400000001
114,2148,2148,82,M,H,230.528,NA,NA
115,1991,270,82,M,A,223.211,43.215612,-123.36528100000001
116,1902,1902,82,M,W,210.289,NA,NA
117,2243,1176,0,M,W,221.278,45.533135,-122.82003200000001
118,2243,1155,60,F,H,211.721,45.50441,-122.852956
119,2142,4068,82,F,B,193.572,44.964339,-123.06346
120,2254,1219,82,F,W,258.45,45.310727,-122.95079000000001
121,2048,412,82,M,W,175.365,42.317381000000005,-122.95853000000001
122,1902,1902,80,F,M,175.365,NA,NA
123,1902,1902,70,M,W,193.572,NA,NA
124,2142,763,10,M,W,225.337,44.96479,-122.998022
125,2183,3543,10,F,H,213.177,45.484647,-122.407403
126,2024,363,82,M,W,197.029,45.624971,-121.54382000000001
127,1902,1902,10,F,W,207.459,NA,NA
128,1924,4766,82,F,W,206.044,45.421934,-122.508347
129,2182,1365,10,M,H,179.188,45.529089,-122.44072600000001
130,2180,872,82,F,B,193.572,45.477176,-122.65226100000001
131,2239,1285,10,M,W,191.689,45.543783000000005,-122.98149400000001
132,1902,1902,70,F,H,162.398,NA,NA
133,2048,412,82,M,B,203.175,42.317381000000005,-122.95853000000001
134,2048,416,10,F,H,233.96,42.358679,-122.851555
135,1977,1325,82,M,W,206.044,44.262607,-121.203197
136,2239,4643,82,M,W,175.365,45.53268,-122.90877300000001
137,2187,978,60,M,W,221.278,45.521381000000005,-122.543896
138,2025,2025,10,M,W,211.721,NA,NA
139,2244,4730,50,M,H,210.289,45.364033,-122.86389500000001
140,2048,416,10,M,W,217.805,42.358679,-122.851555
141,2205,5297,82,M,W,206.044,45.981201,-118.402493
